flight_id,flt_id,typecode,icao_aircraft_class,is_large_jet,last_seen,dof,lowest_leveloff_ft,leveloff_d_brock_km,n_leveloffs,village_leveloff_ft,n_village_leveloffs,gate_alt_ft,alt_vs_cda_ft,has_corridor_leveloff,leveloff_over_village,non_cda,breach_hard_floor
39249197934082036,GJJMM   ,MM24,G1P,False,2025-06-17 12:39:20,2025-06-17,,,0,,0,,,False,False,False,False
50416042673129866,T7MASHI ,,,False,2025-06-21 12:10:55,2025-06-21,,,0,,0,,,False,False,False,False
55931847105595278,PNTHR80 ,H64,,False,2025-06-19 10:19:35,2025-06-19,,,0,,0,,,False,False,False,False
106005991546406554,GBUFH   ,P28A,L1P,False,2025-06-15 10:38:00,2025-06-15,225.0000072,15.818656257332108,9,,0,,,True,False,True,False
127376730247524723,RYR7099 ,B738,L2J,True,2025-06-05 14:17:20,2025-06-05,350.0000112,18.23701352796397,1,,0,,,True,False,True,False
143128286048978994,RYR611T ,B38M,,False,2025-06-10 12:34:50,2025-06-10,,,0,,0,,,False,False,False,False
145286225151377641,,P28A,L1P,False,2025-06-15 13:08:50,2025-06-15,,,0,,0,,,False,False,False,False
193752886949893106,TOM793  ,B738,L2J,True,2025-06-23 23:37:30,2025-06-23,1275.0000408,10.484129056169444,1,,0,,,True,False,True,False
233250591593447836,GRUVY   ,RV9,L1P,False,2025-06-18 13:12:30,2025-06-18,,,0,,0,,,False,False,False,False
296369484046470601,RYR14VB ,B738,L2J,True,2025-06-16 21:35:40,2025-06-16,,,0,,0,,,False,False,False,False
305894177743791918,AMBER3  ,FA20,L2J,True,2025-06-19 13:52:30,2025-06-19,2675.0000856,10.23311066955213,3,,0,,,True,False,True,False
318536801033090503,GBUFH   ,P28A,L1P,False,2025-06-15 14:17:30,2025-06-15,275.00000880000005,15.417411223474481,8,,0,,,True,False,True,False
322702104997246340,URO601  ,A346,L4J,True,2025-06-14 11:46:50,2025-06-14,1450.0000464000002,5.87979992227975,4,1450.0000464000002,3,,,True,True,True,False
341071037237669216,EXS339E ,B738,L2J,True,2025-06-19 20:57:40,2025-06-19,,,0,,0,,,False,False,False,False
347219528629264183,2CHOP   ,,,False,2025-06-21 13:23:15,2025-06-21,,,0,,0,,,False,False,False,False
391192126116714865,RYR94FL ,B38M,,False,2025-06-22 06:56:30,2025-06-22,,,0,,0,,,False,False,False,False
404125167515931245,GBUFH   ,P28A,L1P,False,2025-06-20 15:15:10,2025-06-20,,,0,,0,,,False,False,False,False
407072391991851224,AMBER3  ,FA20,L2J,True,2025-06-10 10:40:00,2025-06-10,2375.0000760000003,2.557198503046527,3,2375.0000760000003,3,2400.0000768,-626.5833738014258,True,True,True,False
440421881157920710,RYR90UB ,B738,L2J,True,2025-06-07 21:31:15,2025-06-07,100.0000032,18.685967796054765,1,,0,,,True,False,True,False
480099889123077256,EXS3618 ,B738,L2J,True,2025-06-05 15:10:15,2025-06-05,3127.8226807354836,18.692985676585135,1,,0,,,True,False,True,False
487619314193447263,AMBER2  ,FA20,L2J,True,2025-06-05 13:21:05,2025-06-05,275.00000880000005,18.584408684056356,5,2275.0000728,3,2275.0000728,-515.2761130669032,True,True,True,False
492722693018919868,BTNIA12 ,G115,L1P,False,2025-06-04 11:31:50,2025-06-04,,,0,,0,,,False,False,False,False
506908744772869554,EXS64DM ,B738,,False,2025-06-19 14:21:50,2025-06-19,,,0,,0,,,False,False,False,False
507010430671121650,GLHER   ,CRUZ,L1P,False,2025-06-20 13:04:15,2025-06-20,,,0,,0,,,False,False,False,False
520881420214245461,RYR14VB ,B738,L2J,True,2025-06-23 21:42:50,2025-06-23,,,0,,0,,,False,False,False,False
528623370026273637,RYR24GH ,B738,L2J,True,2025-06-18 21:11:00,2025-06-18,,,0,,0,,,False,False,False,False
542732484935329043,EXS34A  ,B738,,False,2025-06-05 22:36:25,2025-06-05,200.0000064,18.96882580909973,1,,0,,,True,False,True,False
559022647806518489,RYR2CT  ,A320,L2J,True,2025-06-21 05:55:50,2025-06-21,,,0,,0,,,False,False,False,False
570166330620106597,GPKUP   ,C42,L1P,False,2025-06-18 14:40:20,2025-06-18,,,0,,0,,,False,False,False,False
576700133453075713,EXS52N  ,B738,,False,2025-06-22 14:50:10,2025-06-22,1650.0000528,7.391306872820004,2,,0,,,True,False,True,False
581376783718608010,OHFWZ   ,,,False,2025-06-19 11:28:35,2025-06-19,,,0,,0,,,False,False,False,False
647335089647743949,EXS339E ,B738,L2J,True,2025-06-05 21:14:50,2025-06-05,225.0000072,18.97521958987307,2,2500.00008,1,,,True,True,True,False
738858114780151721,GGCDB   ,SR20,L1P,False,2025-06-21 12:45:10,2025-06-21,,,0,,0,,,False,False,False,False
760648649554357043,TOM6457 ,B738,L2J,True,2025-06-12 13:33:10,2025-06-12,1750.0000559999999,8.185601065825864,1,,0,,,True,False,True,False
782834136792579469,RYR3KY  ,B738,L2J,True,2025-06-17 20:08:45,2025-06-17,,,0,,0,,,False,False,False,False
840693980293450751,GCYRA   ,ULAC,,False,2025-06-16 11:36:10,2025-06-16,,,0,,0,,,False,False,False,False
887855876297425238,SRD175  ,A189,H2T,False,2025-06-10 15:38:05,2025-06-10,,,0,,0,,,False,False,False,False
893156108027435999,GOLGE   ,SR20,,False,2025-06-20 12:32:40,2025-06-20,1400.0000448,16.612075194823195,1,,0,,,True,False,True,False
929661967295008105,TOM6339 ,B738,L2J,True,2025-06-11 10:42:15,2025-06-11,,,0,,0,,,False,False,False,False
966559311080739527,BWY42   ,FA20,L2J,True,2025-06-11 14:35:35,2025-06-11,2775.0000888,8.27114789228049,4,,0,,,True,False,True,False
982132282666733738,VJT732  ,GLEX,L2J,True,2025-06-13 08:59:55,2025-06-13,,,0,,0,,,False,False,False,False
991506282953531842,N920TT  ,BE9L,L2T,False,2025-06-06 10:58:35,2025-06-06,1425.0000456,11.347293257556768,5,2375.0000760000003,4,2625.0000840000002,-90.89090710412802,True,True,True,False
1040239018060504693,EXS68Z  ,B738,,False,2025-06-23 22:30:00,2025-06-23,2400.0000768,2.9344943679566025,1,2400.0000768,1,2400.0000768,-214.883353093001,True,True,True,False
1045106467320773856,CRIMSON1,FA20,L2J,True,2025-06-16 13:53:35,2025-06-16,1575.0000504,3.4029346199273203,4,1575.0000504,3,1600.0000512,-1256.7326170967879,True,True,True,True
1068820994345828303,BTNIA15 ,G115,L1P,False,2025-06-17 15:17:20,2025-06-17,,,0,,0,,,False,False,False,False
1092277036397914124,REV935  ,BE20,L2T,False,2025-06-15 10:59:45,2025-06-15,2225.0000712,9.671203456297286,6,2225.0000712,4,2225.0000712,-821.9809762258315,True,True,True,False
