id,icao24,registration,adep,model,icao_operator
69252620432174262,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
73589329178758997,400c5f,G-ECJM,,PIPER PA-28R-201T Turbo Cherokee Arrow Iii,
78192859092627299,4cac7f,EI-HMS,,,
98585177989934624,4009d2,G-FRAR,EGNV,FAN JET FALCON SERIES D Falcon 20d,
103493621424281216,40660c,G-FDZY,,BOEING 737-8K5,TOM
151973743568726176,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
248124656902811601,407117,G-RVLX,,REIMS CESSNA F406 Caravan Ii,
264050620077367754,493286,CS-LTF,,,
341981018232700271,4d2236,9H-QDT,LIPZ,,
364633033938127342,a78911,N585G,LSZH,GVII-G500,
441395005463337760,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
445977707476396406,491312,CS-DXR,EHAM,Citation XLS,
491466852991888288,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
499819160863681232,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
631063779949422990,400f3c,G-CBZX,EGWC,MCR-01 ULC Banbi,
651732000340149992,484128,P4-PPP,EGNT,,
653953968197459904,4d02de,LX-FLG,LFRN,,
689962798028947406,4009d1,G-FRAP,EGNV,FAN JET FALCON SERIES D Falcon 20d,
772229135750159542,43ed08,2-CLRK,,,
813138381376408958,4d02cd,LX-JFA,EGWU,PC-XII NG 47E,
839557937860323580,4067f7,G-TUIC,,BOEING 787-8 Dreamliner,TOM
844029937664986893,4050d2,G-WSSX,,IKARUS C42 FB100 Ikarus,
864424350073673136,49118b,CS-DLK,,,
880624605628018232,4050bb,G-TLDL,EGGD,SLA 100 EXECUTIVE,
958444048955272351,4ca760,EI-EFE,EIDW,BOEING 737-8AS,RYR
983583460024462877,43eacc,M-LLMW,,King Air B350,GMA
1004681331105056285,4ca760,EI-EFE,LEAL,BOEING 737-8AS,RYR
1034694664586294418,4d2209,9H-QCL,LIPZ,737-8AS (W),MAY
1038021549014566457,406cbc,G-WLTS,EGDM,BELL 429,
1051659776869444592,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
1081442301859160864,46316e,OH-SSS,,PC-12/47E NG,HDL
1089349735466200274,4ca8d4,EI-ENI,,BOEING 737-8AS,RYR
1117916821218394087,407e1d,G-CMFI,EGCC,,
1132406409227825215,40266b,G-BMJL,EGHI,ROCKWELL COMMANDER 114 Commander,
1137242013547814612,401256,G-BGVZ,EGTE,PIPER PA-28-181 Cherokee Archer Ii,
1146754126003301172,407446,G-SHUI,LSZH,CESSNA 680A Latitude,EDC
1215507689536782955,400c5f,G-ECJM,EGHL,PIPER PA-28R-201T Turbo Cherokee Arrow Iii,
1269593247720411946,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
1297236500865235113,4067f0,G-TAWM,,BOEING 737-8K5,TOM
1302116884502191394,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
1345923775911756126,4b1a1a,HB-JXA,LSGG,A320-214,
1433592912915034313,40660c,G-FDZY,,BOEING 737-8K5,TOM
1462003855409579491,4009d3,G-FRAS,EGDR,FAN JET FALCON Falcon 20,
1471000826385213040,4046e8,G-CBNO,EGHI,STREAK SHADOW Shadow,
1507290614286408320,4011b4,G-FCUM,,ROBINSON R44 II Raven Ii,COV
1518809228543050209,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
1619508505578390210,4ca8d4,EI-ENI,LEAL,BOEING 737-8AS,RYR
1622303717392776583,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
1682455002755794284,40352d,G-BTYT,,CESSNA 152,
1714177170859472702,407c65,G-JHEX,LSGG,,
1722494801529624627,406e80,G-CISE,,PULSAR XP Pulsar,
1749213229983576985,4052eb,G-ORVS,EGTE,VANS RV-9,
1756088329609928733,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
1766873660202669401,4ca8d4,EI-ENI,EPKK,BOEING 737-8AS,RYR
1823420495024681672,4ca8d4,EI-ENI,EPKK,BOEING 737-8AS,RYR
1867158371838097718,4ca760,EI-EFE,,BOEING 737-8AS,RYR
1867956359324101856,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
1901523152416193653,407152,G-DSAA,EGDY,AW169,
1916999270858464341,4caa60,EI-EXE,EIDW,BOEING 737-8AS,RYR
1932373826460603712,40660c,G-FDZY,,BOEING 737-8K5,TOM
1989050847803515323,43e97c,M-USIC,EGLF,Gulfstream Aerospace G550,
2003620253279804735,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
2015488528967291504,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
2092447108439810200,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
2119313474136071476,4d2229,9H-QCI,LIPZ,,
2128771948885451997,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
2130427048393109397,40666a,G-EZUP,LSGG,AIRBUS A320-214,EZY
2152538173189612418,4cac89,EI-IFS,LEMG,,RYR
2172831886185602239,4015c4,G-ASIL,,PIPER PA-28-180 Cherokee,
2248032415679269991,406de8,G-MCGS,EGHL,AGUSTA AW189,BHL
2274145998017132372,40520f,G-NIND,EGJJ,PIPER PA-28-180 Cherokee,
2329611958476107006,407c65,G-JHEX,EGNH,,
2433244016077913959,407152,G-DSAA,EGHI,AW169,
2463843930198319048,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
2480611073254264219,400b1c,G-BZTN,,EUROPA XS Europa,
2489957179134442379,400c5f,G-ECJM,,PIPER PA-28R-201T Turbo Cherokee Arrow Iii,
2501145336618769710,406955,G-OKTA,,IKARUS C42 FB80 Ikarus,
2502391014979101685,4ca8d4,EI-ENI,LPFR,BOEING 737-8AS,RYR
2507276791567874662,400e15,G-FRAD,EGNV,FAN JET FALCON SERIES E Falcon 20e,
2518674426363281809,407601,G-FOCX,EGKA,,
