id,icao24,registration,adep,model,icao_operator
8993013325626937992,4cae60,EI-IJK,LEMG,Boeing 737 MAX 8-200,RYR
15806879346633850837,4cafc4,EI-GXI,LEAL,,
6010047280826111016,407f1f,G-RUKM,EGPH,Boeing 737-8AS,RYR
3887893277310101865,4080c7,,,,
11363499212028505284,4010bb,G-PAMY,EGKK,ROBINSON R44 II Clipper Ii,
9287288634151526382,407d0d,G-CMCZ,EGLK,,
12066306284292334957,40154f,G-ARKM,,PIPER PA-22-108 Colt,
8604537628479546086,400f0b,G-VRED,,AIRBUS A340-642,VIR
12769922573233615122,4d2259,9H-QBB,EPWR,,
15286601130700432990,4ca856,EI-EMN,,BOEING 737-8AS,RYR
11775581418486305650,4caa5f,EI-EXD,,BOEING 737-8AS,RYR
17744051451193095379,40812e,,LSGG,,
9807171154944434925,4011b4,G-FCUM,EGBJ,ROBINSON R44 II Raven Ii,COV
6948221040853378376,4067f0,G-TAWM,,BOEING 737-8K5,TOM
7239417739676151662,4cae5a,EI-IJJ,LMML,Boeing 737 MAX 8-200,RYR
14797384656424338923,407f7d,G-JZDC,,Boeing 737-82R,EXS
11329212903210702123,4076dd,G-DRTH,,,
18079956744593448248,4d251a,9H-QFD,EPKK,Boeing 737-8AS,RYR
700937874511189644,4ca856,EI-EMN,LEMG,BOEING 737-8AS,RYR
17281436811199379632,4caa5f,EI-EXD,LEAL,BOEING 737-8AS,RYR
16925516463654653710,4080c7,,,,
14764438254351512697,4ca704,EI-EBG,LMML,BOEING 737-8AS,RYR
5174482861592663394,400f0b,G-VRED,,AIRBUS A340-642,VIR
12723529814859562920,4ca8d4,EI-ENI,EPKK,BOEING 737-8AS,RYR
9895425069050234401,461852,OH-JFM,LSGG,,
12371447904565609141,4d2369,9H-VUS,EGDY,,
13223069452676515434,407f7d,G-JZDC,,Boeing 737-82R,EXS
17057971779615288341,406cd2,G-EZOF,LSGG,AIRBUS A320-214,EZY
16226289992328483882,4067ee,G-TAWK,,BOEING 737-8K5,TOM
13434763290545994704,407f0e,G-RUKJ,,Boeing 737-8AS,RYR
1149252858001026583,4ca566,EI-DWA,,BOEING 737-8AS,RYR
16212200914678067493,4d2369,9H-VUS,,,
12888320409377141537,4ca8d4,EI-ENI,,BOEING 737-8AS,RYR
11331577419906749753,407152,G-DSAA,,AW169,
14332793208223171776,48c224,SP-RSE,EPKK,737-8AS,RYR
9194916072156632797,40710f,G-CJFO,,DA 42 Twin Star,
7486322093808781957,4d0281,LX-SUN,EGLF,Piaggio P-180 Avanti,
12801880698757257281,4d22d0,9H-MBA,LMML,,
4097909215440496038,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
13471694803789979506,407689,G-UZHU,,A320-251N,EZY
14990313979449750215,400d58,G-VWIN,,AIRBUS A340-642,VIR
4904912381734604868,4ca9cd,EI-EVF,,BOEING 737-8AS,RYR
11758724118824022598,407dca,G-HMGC,EGHQ,,
15744859535156590711,4009c9,G-FRAF,,FAN JET FALCON SERIES E Falcon 20e,
8870284192862647620,4009cd,G-FRAK,,FAN JET FALCON SERIES D Falcon 20d,
16272110353617539731,407f7d,G-JZDC,,Boeing 737-82R,EXS
8441815851785191224,4d226b,9H-QCA,,737-8AS,RYR
12116219078680996291,40774d,G-BJYT,,,
14450887189799503524,4065d5,G-ZIPE,EGUW,AGUSTA A109E,
5543300206808537591,4067ee,G-TAWK,,BOEING 737-8K5,TOM
12729435174867769962,4076dd,G-DRTH,,,
15098167245956320612,40834d,,EGVO,,
13520656273178719036,408360,,,,
