month,our_arrivals,caa_total_mov,our_x2,pct_capt
2023-01,524,1343,1048,78.0
2023-02,617,1289,1234,95.7
2023-03,603,1265,1206,95.3
2023-04,812,1493,1624,108.8
2023-05,1136,1995,2272,113.9
2023-06,1199,2258,2398,106.2
2023-07,1019,2030,2038,100.4
2023-08,1175,2125,2350,110.6
2023-09,1099,2352,2198,93.5
2023-10,593,1829,1186,64.8
2023-11,588,1356,1176,86.7
2023-12,454,1189,908,76.4
2024-01,667,1338,1334,99.7
2024-02,561,1113,1122,100.8
2024-03,679,1411,1358,96.2
2024-04,839,1593,1678,105.3
2024-05,1040,2020,2080,103.0
2024-06,1359,2381,2718,114.2
2024-07,1229,2249,2458,109.3
2024-08,1117,2347,2234,95.2
2024-09,1074,2050,2148,104.8
2024-10,948,1916,1896,99.0
2024-11,639,1349,1278,94.7
2024-12,612,1233,1224,99.3
2025-01,568,1259,1136,90.2
2025-02,699,1349,1398,103.6
2025-03,972,1764,1944,110.2
2025-04,1110,1842,2220,120.5
2025-05,1338,2335,2676,114.6
2025-06,1315,2442,2630,107.7
2025-07,1461,2751,2922,106.2
2025-08,1366,2586,2732,105.6
2025-09,1225,2561,2450,95.7
2025-10,1010,2360,2020,85.6
2025-11,744,1708,1488,87.1
2025-12,766,1904,1532,80.5
