date,local_time,callsign,aircraft_type,height_over_brockenhurst_ft,ft_below_proper_height,below_2000ft_minimum,stopped_descending_overhead,measurement
2023-05-15,23:27,MLT420  ,A332,1200,1916,YES,YES,levelled off near village
2025-05-29,23:25,EXS34A  ,B738,1300,1816,YES,YES,passed overhead
2024-07-23,23:33,RYR1241 ,A320,1350,1766,YES,YES,levelled off near village
2025-12-19,23:02,LOG23PY ,E145,1400,1716,YES,YES,levelled off near village
2025-05-26,00:22,EXS3618 ,B738,1425,1691,YES,YES,levelled off near village
2025-07-05,23:49,EXS147L ,B738,1550,1566,YES,YES,passed overhead
2025-06-08,00:54,EXS2LS  ,B738,1575,1541,YES,YES,levelled off near village
2025-07-23,23:30,TOM5XY  ,B738,1600,1516,YES,YES,levelled off near village
2025-05-12,00:19,EXS3618 ,B738,1600,1516,YES,YES,passed overhead
2025-05-31,23:38,EXS043A ,B738,1700,1416,YES,YES,levelled off near village
2025-06-27,23:29,EXS66Q  ,B738,1725,1391,YES,YES,passed overhead
2024-09-12,23:40,TOM8BJ  ,B738,1750,1366,YES,YES,levelled off near village
2025-07-25,23:15,EXS66Q  ,B738,1825,1291,YES,YES,passed overhead
2025-05-23,23:32,EXS66Q  ,B738,1850,1266,YES,YES,levelled off near village
2025-09-08,23:06,EXS68Z  ,B738,1850,1266,YES,YES,levelled off near village
2025-09-08,23:52,TOM92D  ,B738,1875,1241,YES,YES,passed overhead
2024-10-15,00:39,RYR5VE  ,B738,1875,1241,YES,YES,passed overhead
2025-04-14,23:13,EXS68Z  ,B738,1875,1241,YES,YES,levelled off near village
2024-07-25,00:14,TOM671  ,B38M,1900,1216,YES,YES,passed overhead
2025-05-25,01:40,EXS2LS  ,B738,1950,1166,YES,YES,passed overhead
2024-11-14,23:30,TOM6TM  ,B38M,2000,1116,,YES,levelled off near village
2025-04-23,23:23,EXS15Q  ,B738,2025,1091,,YES,levelled off near village
2025-07-04,00:42,EXS34A  ,B738,2025,1091,,YES,levelled off near village
2023-04-01,23:30,TOM3MD  ,B738,2025,1091,,YES,passed overhead
2025-10-12,23:31,TOM39M  ,B738,2025,1091,,YES,passed overhead
2025-10-12,23:32,EXS3618 ,B738,2025,1091,,YES,passed overhead
2023-08-11,00:03,TOM6TM  ,B738,2025,1091,,YES,levelled off near village
2025-05-20,23:59,EXS66Q  ,B738,2075,1041,,YES,levelled off near village
2024-08-11,00:12,TOM655  ,B738,2075,1041,,YES,levelled off near village
2025-05-22,00:29,EXS2LS  ,B738,2100,1016,,YES,passed overhead
2024-05-08,00:27,TOM6FX  ,B738,2100,1016,,YES,levelled off near village
2023-09-18,01:16,TOM8EW  ,B738,2100,1016,,YES,levelled off near village
2025-04-16,23:24,EXS15Q  ,B738,2125,991,,YES,levelled off near village
2025-08-10,00:04,TOM6687 ,B738,2125,991,,YES,passed overhead
2024-09-15,23:17,TOM4YH  ,B738,2125,991,,YES,passed overhead
2024-12-30,23:43,RUK1133 ,B738,2125,991,,YES,passed overhead
2025-06-05,00:34,EXS2LS  ,B738,2150,966,,YES,levelled off near village
2025-12-19,23:49,RYR7779 ,B738,2150,966,,YES,levelled off near village
2024-09-10,00:08,TOM3H   ,B738,2200,916,,YES,levelled off near village
2025-06-29,23:36,EXS3618 ,B738,2200,916,,YES,passed overhead
2025-06-28,01:06,TOM2TG  ,B738,2225,891,,YES,levelled off near village
2025-07-09,23:19,EXS15Q  ,B738,2225,891,,YES,passed overhead
2025-10-01,23:17,EXS15Q  ,B738,2225,891,,YES,levelled off near village
2025-06-08,23:51,EXS3618 ,B738,2250,866,,YES,levelled off near village
2025-07-05,00:47,TOM2TG  ,B738,2250,866,,YES,levelled off near village
2025-06-01,23:42,EXS339E ,B738,2250,866,,YES,levelled off near village
2024-07-27,23:01,RYR7UF  ,B738,2275,841,,YES,levelled off near village
2023-05-08,00:24,TOM8EW  ,B738,2275,841,,YES,passed overhead
2025-05-19,23:48,TOM6109 ,B738,2275,841,,YES,levelled off near village
2025-08-23,00:07,TOM2TG  ,B738,2275,841,,YES,passed overhead
2025-05-22,23:46,TOM6TM  ,B738,2275,841,,YES,passed overhead
2025-07-25,00:23,TOM6TM  ,B738,2300,816,,YES,passed overhead
2025-08-03,23:46,TOM6723 ,B738,2300,816,,YES,passed overhead
2023-08-16,23:22,TOM57V  ,B738,2300,816,,YES,passed overhead
2023-03-12,23:19,RYR9ZA  ,B738,2300,816,,YES,passed overhead
2024-07-02,00:05,TOM3H   ,B738,2300,816,,YES,passed overhead
2024-06-12,23:51,TOM57V  ,B738,2300,816,,YES,levelled off near village
2025-06-15,00:17,TOM3XA  ,B738,2300,816,,YES,levelled off near village
2025-06-15,00:44,EXS2LS  ,B738,2300,816,,YES,passed overhead
2025-08-09,00:30,TOM2TG  ,B738,2300,816,,YES,levelled off near village
2023-09-23,23:42,RYR9SA  ,B738,2325,791,,YES,levelled off near village
2025-07-26,00:23,EXS68Z  ,B738,2325,791,,YES,passed overhead
2025-08-25,00:10,EXS3618 ,B738,2325,791,,YES,passed overhead
2024-06-06,23:37,TOM8BJ  ,B738,2325,791,,YES,passed overhead
2024-11-02,00:39,TOM2TG  ,B38M,2325,791,,YES,passed overhead
2025-07-29,23:05,EXS66Q  ,B738,2325,791,,YES,passed overhead
2024-10-05,00:24,TOM2TG  ,B738,2325,791,,YES,levelled off near village
2024-04-08,23:24,RYR42WP ,B738,2325,791,,YES,levelled off near village
2025-08-06,23:40,TOM5XY  ,B738,2325,791,,YES,passed overhead
2025-09-28,01:37,EXS2LS  ,B738,2350,766,,YES,passed overhead
2025-07-12,00:29,TOM2TG  ,B738,2350,766,,YES,passed overhead
2025-08-06,23:33,TOM57V  ,B738,2350,766,,YES,passed overhead
2025-05-22,01:17,TOM57V  ,B738,2350,766,,YES,passed overhead
2025-07-26,00:27,TOM2TG  ,B738,2350,766,,YES,passed overhead
2025-07-25,23:26,TOM299  ,B738,2350,766,,YES,passed overhead
2025-08-05,00:07,TOM793  ,B738,2375,741,,YES,passed overhead
2024-09-14,00:10,TOM299  ,B738,2375,741,,YES,passed overhead
2025-05-24,00:38,TOM2TG  ,B738,2375,741,,YES,passed overhead
2024-10-27,01:03,TOM3XA  ,B738,2375,741,,YES,passed overhead
2023-05-11,23:03,RYR86SZ ,B738,2375,741,,YES,passed overhead
2024-06-24,23:48,TOM793  ,B738,2375,741,,YES,passed overhead
2025-08-01,00:36,EXS34A  ,B738,2400,716,,YES,levelled off near village
2024-08-15,01:47,TOM671  ,B738,2400,716,,YES,passed overhead
2025-09-12,00:44,RYR8TF  ,B38M,2400,716,,YES,passed overhead
2025-06-23,23:30,EXS68Z  ,B738,2400,716,,YES,passed overhead
