time,callsign,airline,adep,alt_ft
00:00,TOM299,TUI,,1998
00:51,TOM5EH,TUI,LTAI,1998
07:11,RYR117J,Ryanair,LEMG,1998
07:16,RYR6504,Ryanair,,1998
07:51,RYR384B,Ryanair,LMML,1998
07:59,ABR840,ABR,LIMC,1998
08:21,2ANJA,2AN,EGJB,997
08:45,PHSCH,PHS,EHRD,1998
09:24,RYR7099,Ryanair,LFBE,1998
09:37,RYR273,Ryanair,,1998
10:00,RYR80XD,Ryanair,LPFR,1998
12:12,TOM2KT,TUI,LEIB,1998
12:28,RYR4VP,Ryanair,,1998
13:03,EXS86KL,Jet2,LEAL,1998
13:41,BAH700,BAH,EGVN,1998
14:06,TOM2CD,TUI,LEPA,1998
14:41,NJE252C,NJE,EIDW,1998
14:50,N974QS,N97,GMTT,1998
15:16,RYR12YU,Ryanair,LEPA,1998
15:20,RYR5RR,Ryanair,LEMG,1998
16:13,EXS52TY,Jet2,,1998
17:03,RYR3318,Ryanair,EPWR,997
18:05,LJC6,LJC,LEPA,997
19:59,RYR2XN,Ryanair,LEAL,1998
21:23,RYR9911,Ryanair,LEGE,1998
21:25,RYR7AB,Ryanair,EPKK,1998
22:53,EXS61TQ,Jet2,LEPA,1998
