time,callsign,airline,type,height_ft,period
00:41,TOM3XA  ,TUI,B738,2575,Night
01:40,EXS2LS  ,Jet2,B738,1950,Night
11:55,TOM16H  ,TUI,B738,2550,Day
12:02,RYR46HP ,Ryanair,B738,2775,Day
12:41,TOM5JB  ,TUI,B738,2525,Day
13:29,EXS51Y  ,Jet2,B738,3175,Day
14:07,URO601  ,European Cargo,A346,3225,Day
15:26,EXS52N  ,Jet2,B738,2475,Day
15:59,RYR55SN ,Ryanair,B738,2950,Day
18:49,RYR8TF  ,Ryanair,B38M,2450,Day
20:17,RYR24GH ,Ryanair,B738,2450,Evening
21:43,TOM6785 ,TUI,B738,2450,Evening
22:14,EXS339E ,Jet2,B738,2475,Evening
23:57,TOM6723 ,TUI,B738,2950,Night
